GEO_ID,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,county
1400000US06001400100,"Census Tract 4001, Alameda County, California",3035,3324,3269,289,-55,234,9.52,-1.65,7.71,Alameda County
1400000US06001400200,"Census Tract 4002, Alameda County, California",1983,2038,2147,55,109,164,2.77,5.35,8.27,Alameda County
1400000US06001400300,"Census Tract 4003, Alameda County, California",5058,5449,5619,391,170,561,7.73,3.12,11.09,Alameda County
1400000US06001400400,"Census Tract 4004, Alameda County, California",4179,4384,4278,205,-106,99,4.91,-2.42,2.37,Alameda County
1400000US06001400500,"Census Tract 4005, Alameda County, California",4021,4048,3949,27,-99,-72,0.67,-2.45,-1.79,Alameda County
1400000US06001400600,"Census Tract 4006, Alameda County, California",1812,1957,2058,145,101,246,8,5.16,13.58,Alameda County
1400000US06001400700,"Census Tract 4007, Alameda County, California",5165,5150,4758,-15,-392,-407,-0.29,-7.61,-7.88,Alameda County
1400000US06001400800,"Census Tract 4008, Alameda County, California",4001,4042,4335,41,293,334,1.02,7.25,8.35,Alameda County
1400000US06001400900,"Census Tract 4009, Alameda County, California",2853,3056,2844,203,-212,-9,7.12,-6.94,-0.32,Alameda County
1400000US06001401000,"Census Tract 4010, Alameda County, California",6057,6185,6277,128,92,220,2.11,1.49,3.63,Alameda County
1400000US06001401100,"Census Tract 4011, Alameda County, California",4269,5204,5537,935,333,1268,21.9,6.4,29.7,Alameda County
1400000US06001401200,"Census Tract 4012, Alameda County, California",2654,2800,2994,146,194,340,5.5,6.93,12.81,Alameda County
1400000US06001401300,"Census Tract 4013, Alameda County, California",3830,4074,4608,244,534,778,6.37,13.11,20.31,Alameda County
1400000US06001401400,"Census Tract 4014, Alameda County, California",4895,5044,5392,149,348,497,3.04,6.9,10.15,Alameda County
1400000US06001401500,"Census Tract 4015, Alameda County, California",2816,3083,3035,267,-48,219,9.48,-1.56,7.78,Alameda County
