id,geo_id,county,mk_pop,pval_mk,slp_pop,pval_ols,coef_pop,pval_poisson,WUICLASS10_tract,WUIFLAG10_tract,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,tract_cnt
06037500403,1400000US06037500403,Los Angeles County,-0.5757575035095215,0.0111748119816184,-82.61188811188822,0.00249814829058636,-0.02017767045601524,1.1282046902870134e-53,High_Dens_Interface,2,"Census Tract 5004.03, Los Angeles County, California",3464,3451,3497,-13,46,33,-0.38,1.33,0.95,2498
06065045103,1400000US06065045103,Riverside County,-0.656507670879364,0.00389129226095974,-90.12937062937074,5.032359038829565e-5,-0.02439705504873383,3.7001588550639696e-70,Med_Dens_Interface,2,"Census Tract 451.03, Riverside County, California",3493,3112,3170,-381,58,-323,-10.91,1.86,-9.25,518
06065046404,1400000US06065046404,Riverside County,0.5454545021057129,0.01639330387115478,151.42307692307688,0.00880789674900822,0.02520203590568862,2.4852023065547947e-120,High_Dens_Interface,2,"Census Tract 464.04, Riverside County, California",5866,6380,6321,514,-59,455,8.76,-0.92,7.76,518
06065045108,1400000US06065045108,Riverside County,0.7333333492279053,0.00420749187469482,212.9636363636365,2.6083721628768725e-5,0.03490751252676057,7.490726246133932e-135,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518
06037122122,1400000US06037122122,Los Angeles County,0.6969696283340454,0.00203025341033935,64.32867132867128,5.387627651523069e-5,0.02700648454716646,8.839510498616362e-56,High_Dens_Interface,2,"Census Tract 1221.22, Los Angeles County, California",2644,2556,2507,-88,-49,-137,-3.33,-1.92,-5.18,2498
06065045109,1400000US06065045109,Riverside County,0.1515151411294937,0.5371338129043579,29.080419580419424,0.3753259498712068,0.00746438009771703,2.537742217069327e-8,High_Dens_Interface,2,"Census Tract 451.09, Riverside County, California",4766,4161,4262,-605,101,-504,-12.69,2.43,-10.57,518
06065045110,1400000US06065045110,Riverside County,0.5454545021057129,0.01639330387115478,62.842657342657205,0.05064356400087303,0.01170550953570459,1.1483131392826987e-24,High_Dens_Interface,2,"Census Tract 451.10, Riverside County, California",5616,5098,5099,-518,1,-517,-9.22,0.02,-9.21,518
06065042514,1400000US06065042514,Riverside County,0.5454545021057129,0.01639330387115478,50.90909090909081,0.00221788224494352,0.01626402149051432,1.5278264007443787e-27,High_Dens_Interface,2,"Census Tract 425.14, Riverside County, California",3489,3431,3420,-58,-11,-69,-1.66,-0.32,-1.98,518
06065043807,1400000US06065043807,Riverside County,0.969696879386902,1.5616416931152344e-5,197.52797202797177,2.898885962757063e-9,0.03183417794133272,1.3122692003848263e-196,High_Dens_Interface,2,"Census Tract 438.07, Riverside County, California",7132,7116,7050,-16,-66,-82,-0.22,-0.93,-1.15,518
06065043900,1400000US06065043900,Riverside County,0.5151514410972595,0.02364218235015869,71.45804195804162,0.01100643761584716,0.0112769678009819,7.248943597583554e-27,High_Dens_Interface,2,"Census Tract 439, Riverside County, California",6374,6981,6622,607,-359,248,9.52,-5.14,3.89,518
06037137301,1400000US06037137301,Los Angeles County,0.21212118864059448,0.3726913928985596,7.097902097902035,0.38657190535050256,0.00315376453194031,0.07359694160751473,High_Dens_Interface,2,"Census Tract 1373.01, Los Angeles County, California",2314,2097,2142,-217,45,-172,-9.38,2.15,-7.43,2498
06065045215,1400000US06065045215,Riverside County,0.8222222328186035,0.0012822151184082,157.52727272727267,5.915678365693824e-4,0.01667064589921818,5.381864057788639e-49,Med_Dens_Intermix,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518
06065045216,1400000US06065045216,Riverside County,0.8787877559661865,9.28640365600586e-5,106.45454545454535,1.1398646185164555e-6,0.05238318160341463,3.648996523377895e-173,High_Dens_Interface,2,"Census Tract 452.16, Riverside County, California",2587,2695,2441,108,-254,-146,4.17,-9.42,-5.64,518
06065045226,1400000US06065045226,Riverside County,0.90909081697464,5.2094459533691406e-5,207.00349650349628,5.84330314683376e-5,0.02963569709948638,5.512047317727188e-192,Med_Dens_Intermix,1,"Census Tract 452.26, Riverside County, California",8293,7422,5874,-871,-1548,-2419,-10.5,-20.86,-29.17,518
06065042738,1400000US06065042738,Riverside County,0.9393938183784484,2.872943878173828e-5,332.56643356643343,2.3525810661459173e-8,0.0465835254238679,0,High_Dens_Interface,2,"Census Tract 427.38, Riverside County, California",8508,8980,8664,472,-316,156,5.55,-3.52,1.83,518
06065042739,1400000US06065042739,Riverside County,0.3030302822589874,0.19261622428894043,48.43006993006958,0.23942850342979063,0.00641953981949538,2.6097316546868258e-11,Med_Dens_Interface,2,"Census Tract 427.39, Riverside County, California",6906,7942,8714,1036,772,1808,15,9.72,26.18,518
06037137302,1400000US06037137302,Los Angeles County,-0.6363635659217834,0.00493150250986218,-18.33566433566455,0.00239837482928507,-0.00409492850393604,0.0010506936534117,Med_Dens_Interface,2,"Census Tract 1373.02, Los Angeles County, California",4392,4361,4376,-31,15,-16,-0.71,0.34,-0.36,2498
06037137401,1400000US06037137401,Los Angeles County,0.1818181574344635,0.4506702423095703,11.097902097901896,0.31615581358438377,0.00257974909023006,0.04303745058529268,High_Dens_Interface,2,"Census Tract 1374.01, Los Angeles County, California",4091,4536,4567,445,31,476,10.88,0.68,11.64,2498
06037141400,1400000US06037141400,Los Angeles County,0.666666567325592,0.00319194793701171,69.63986013986013,0.00108376388083234,0.01449729829980445,3.1727089796949576e-33,Med_Dens_Interface,2,"Census Tract 1414, Los Angeles County, California",5366,5233,5019,-133,-214,-347,-2.48,-4.09,-6.47,2498
06085503325,1400000US06085503325,Santa Clara County,0.1515151411294937,0.5371338129043579,24.479020979020927,0.2841897866220407,0.0053069866251938,1.6338350889620567e-5,High_Dens_Interface,2,"Census Tract 5033.25, Santa Clara County, California",4625,4409,4391,-216,-18,-234,-4.67,-0.41,-5.06,408
06059042313,1400000US06059042313,Orange County,-0.09090907871723176,0.7317017316818237,-31.74125874125892,0.5238197917015451,-0.00468104399518123,4.041374720194826e-6,Low_Dens_Interface,2,"Census Tract 423.13, Orange County, California",6020,5814,5450,-206,-364,-570,-3.42,-6.26,-9.47,614
06037400205,1400000US06037400205,Los Angeles County,-0.6969696283340454,0.00203029508702456,-80.52797202797211,1.7124362995373662e-4,-0.02619799599455519,2.3356528769891887e-67,Med_Dens_Interface,2,"Census Tract 4002.05, Los Angeles County, California",2536,2523,2584,-13,61,48,-0.51,2.42,1.89,2498
06037143901,1400000US06037143901,Los Angeles County,0.333333283662796,0.14986073970794678,15.520979020978878,0.11694299170692078,0.00370404541377608,0.00414178696353131,Med_Dens_Intermix,1,"Census Tract 1439.01, Los Angeles County, California",4363,4292,4222,-71,-70,-141,-1.63,-1.63,-3.23,2498
06037139802,1400000US06037139802,Los Angeles County,0.27272725105285645,0.24372220039367676,10.30769230769212,0.252407753461685,0.00260332393754364,0.0501279454853278,Med_Dens_Interface,2,"Census Tract 1398.02, Los Angeles County, California",4041,3878,3887,-163,9,-154,-4.03,0.23,-3.81,2498
06037460700,1400000US06037460700,Los Angeles County,-0.03030302748084068,0.9453298449516296,0.6818181818179552,0.9476412883815626,1.3494002509906628e-4,0.9086809730204904,Med_Dens_Interface,2,"Census Tract 4607, Los Angeles County, California",4890,5176,5102,286,-74,212,5.85,-1.43,4.34,2498
06037123010,1400000US06037123010,Los Angeles County,-0.787878692150116,4.7016970347613096e-4,-94.5629370629372,2.2760781094119857e-5,-0.02170970432148622,1.1593425003167598e-65,High_Dens_Interface,2,"Census Tract 1230.10, Los Angeles County, California",3911,4112,3948,201,-164,37,5.14,-3.99,0.95,2498
06059032054,1400000US06059032054,Orange County,0.3030302822589874,0.19261622428894043,27.265734265734025,0.1437643210639824,0.00512851646562398,7.77039079231416e-6,High_Dens_Interface,2,"Census Tract 320.54, Orange County, California",5473,5283,5073,-190,-210,-400,-3.47,-3.98,-7.31,614
06059032055,1400000US06059032055,Orange County,-0.333333283662796,0.14986075460910797,-25.83216783216804,0.02892513495280897,-0.00684917716198564,4.919497919831385e-7,High_Dens_Interface,2,"Census Tract 320.55, Orange County, California",3560,3430,3554,-130,124,-6,-3.65,3.62,-0.17,614
06037920034,1400000US06037920034,Los Angeles County,0.363636314868927,0.11475670337677002,24.244755244755144,0.12403784206446282,0.00679613060398352,1.2127135339547015e-6,High_Dens_Interface,2,"Census Tract 9200.34, Los Angeles County, California",3363,3667,3977,304,310,614,9.04,8.45,18.26,2498
06037920107,1400000US06037920107,Los Angeles County,0.46666666865348816,0.07363831996917725,266.70909090909095,0.00199064373028457,0.05679667169185006,7.930431101571712e-271,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2498
06037910808,1400000US06037910808,Los Angeles County,0.09090907871723176,0.7317017316818237,12.192307692307516,0.3151032263377261,0.00349268352349989,0.01360155544685164,High_Dens_Interface,2,"Census Tract 9108.08, Los Angeles County, California",3553,3836,3836,283,0,283,7.97,0,7.97,2498
06037113231,1400000US06037113231,Los Angeles County,0.5151514410972595,0.02364218235015869,18.090909090909093,0.01095740632218535,0.00810653314435097,4.677646990133419e-6,Med_Dens_Interface,2,"Census Tract 1132.31, Los Angeles County, California",2275,2230,2161,-45,-69,-114,-1.98,-3.09,-5.01,2498
06037408703,1400000US06037408703,Los Angeles County,-0.6870428919792175,0.0024920031428337,-89.94405594405623,4.7075103162345466e-5,-0.01368554805732666,3.876720308794012e-40,Med_Dens_Interface,2,"Census Tract 4087.03, Los Angeles County, California",6125,5781,5743,-344,-38,-382,-5.62,-0.66,-6.24,2498
06037300800,1400000US06037300800,Los Angeles County,0.42424237728118896,0.06410360336303711,80.5314685314682,0.05730449900117266,0.01117976409220006,8.014160310847214e-30,High_Dens_Interface,2,"Census Tract 3008, Los Angeles County, California",7165,7054,7172,-111,118,7,-1.55,1.67,0.1,2498
06037430901,1400000US06037430901,Los Angeles County,0.393939346075058,0.08647119998931885,22.241258741258513,0.08907414969301441,0.00505696365902926,6.066788608816026e-5,High_Dens_Interface,2,"Census Tract 4309.01, Los Angeles County, California",4377,4591,4389,214,-202,12,4.89,-4.4,0.27,2498
06037402402,1400000US06037402402,Los Angeles County,0.6000000238418579,0.02004468441009521,45.000000000000085,0.01735918156732815,0.00699456114418688,3.480180907941899e-7,Med_Dens_Intermix,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2498
06059042103,1400000US06059042103,Orange County,0.7333333492279053,0.00420749187469482,177.0606060606059,2.4242575383208223e-4,0.02397194950991554,5.461624201244035e-78,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614
06059062638,1400000US06059062638,Orange County,0.6363635659217834,0.00493144989013671,64.66083916083906,0.01186483963154689,0.01031552233131063,1.6086995082787246e-22,High_Dens_Interface,2,"Census Tract 626.38, Orange County, California",6129,6308,6412,179,104,283,2.92,1.65,4.62,614
06059062640,1400000US06059062640,Orange County,0.3030302822589874,0.19261622428894043,29.559440559440446,0.06974169566435173,0.00832135480999838,3.032900494369552e-9,High_Dens_Interface,2,"Census Tract 626.40, Orange County, California",3364,3591,3366,227,-225,2,6.75,-6.27,0.06,614
06085507906,1400000US06085507906,Santa Clara County,-0.666666567325592,0.00319196563214063,-31.947552447552653,5.753417704195757e-4,-0.0070430497371028,1.4136708284103752e-8,High_Dens_Interface,2,"Census Tract 5079.06, Santa Clara County, California",4386,4410,4481,24,71,95,0.55,1.61,2.17,408
06085503326,1400000US06085503326,Santa Clara County,0.8397191166877747,2.058744430541992e-4,124.00699300699274,4.9144239704210896e-5,0.01755750143750116,1.4017288175560658e-69,High_Dens_Interface,2,"Census Tract 5033.26, Santa Clara County, California",7743,7474,7172,-269,-302,-571,-3.47,-4.04,-7.37,408
06085512603,1400000US06085512603,Santa Clara County,0.5454545021057129,0.01639330387115478,108.94055944055933,0.00175237566578694,0.02705949282465747,2.3671828346703033e-93,High_Dens_Interface,2,"Census Tract 5126.03, Santa Clara County, California",4176,4165,4357,-11,192,181,-0.26,4.61,4.33,408
06073017106,1400000US06073017106,San Diego County,0.21212118864059448,0.3726913928985596,15.814685314685129,0.3457685245153381,0.00339726682973002,0.00557591079024254,Med_Dens_Interface,2,"Census Tract 171.06, San Diego County, California",4479,4661,4649,182,-12,170,4.06,-0.26,3.8,737
06073016902,1400000US06073016902,San Diego County,0.393939346075058,0.08647119998931885,26.097902097902065,0.03644971952914073,0.00976821236927698,1.5758542555126323e-9,Low_Dens_Intermix,1,"Census Tract 169.02, San Diego County, California",2744,2700,2530,-44,-170,-214,-1.6,-6.3,-7.8,737
06073020016,1400000US06073020016,San Diego County,0.46666666865348816,0.07363831996917725,21.636363636363647,0.03367657724887145,0.00226551249887717,0.0443320506992753,Med_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737
06073017010,1400000US06073017010,San Diego County,0.666666567325592,0.00319194793701171,46.265734265734174,3.4864324175719086e-4,0.01501489961448399,2.2476432777603255e-23,High_Dens_Interface,2,"Census Tract 170.10, San Diego County, California",3299,3213,3086,-86,-127,-213,-2.61,-3.95,-6.46,737
06073016811,1400000US06073016811,San Diego County,0.5151514410972595,0.02364218235015869,124.34265734265722,4.021468141087749e-4,0.02922689434933507,1.4460552249640775e-114,High_Dens_Interface,2,"Census Tract 168.11, San Diego County, California",4708,4734,4549,26,-185,-159,0.55,-3.91,-3.38,737
