county,cnt_incre_20_21,cnt_incre_21_22,cnt_incre_20_22,cnt_decre_20_21,cnt_decre_21_22,cnt_decre_20_22,total_tract,pct_incre_20_21,pct_incre_21_22,pct_incre_20_22,pct_decre_20_21,pct_decre_21_22,pct_decre_20_22
Alameda County,46,24,29,30,53,48,82,56.1,29.27,35.37,36.59,64.63,58.54
Amador County,2,3,2,1,0,1,3,66.67,100,66.67,33.33,0,33.33
Butte County,11,4,11,3,10,3,15,73.33,26.67,73.33,20,66.67,20
Calaveras County,0,1,0,1,0,1,2,0,50,0,50,0,50
Colusa County,1,0,0,0,1,1,1,100,0,0,0,100,100
Contra Costa County,41,27,33,22,36,30,83,49.4,32.53,39.76,26.51,43.37,36.14
El Dorado County,5,2,4,5,8,6,14,35.71,14.29,28.57,35.71,57.14,42.86
Fresno County,11,7,8,6,10,9,22,50,31.82,36.36,27.27,45.45,40.91
Glenn County,1,0,0,0,1,1,1,100,0,0,0,100,100
Humboldt County,3,0,1,2,5,4,6,50,0,16.67,33.33,83.33,66.67
Imperial County,2,2,2,3,3,3,7,28.57,28.57,28.57,42.86,42.86,42.86
Kern County,6,4,2,6,8,10,26,23.08,15.38,7.69,23.08,30.77,38.46
Kings County,2,0,1,0,2,1,2,100,0,50,0,100,50
Lake County,4,1,3,0,3,1,5,80,20,60,0,60,20
Lassen County,1,0,0,1,2,2,2,50,0,0,50,100,100
Los Angeles County,53,40,49,57,70,61,142,37.32,28.17,34.51,40.14,49.3,42.96
Madera County,1,2,1,3,2,3,7,14.29,28.57,14.29,42.86,28.57,42.86
Marin County,13,8,11,11,16,12,27,48.15,29.63,40.74,40.74,59.26,44.44
Mariposa County,1,0,0,0,1,1,1,100,0,0,0,100,100
Mendocino County,4,2,2,0,2,2,4,100,50,50,0,50,50
Merced County,2,4,1,4,2,5,12,16.67,33.33,8.33,33.33,16.67,41.67
Mono County,0,0,0,1,1,1,1,0,0,0,100,100,100
Monterey County,9,10,8,10,9,11,21,42.86,47.62,38.1,47.62,42.86,52.38
Napa County,7,4,5,6,9,8,13,53.85,30.77,38.46,46.15,69.23,61.54
Nevada County,5,0,1,0,5,4,7,71.43,0,14.29,0,71.43,57.14
Orange County,25,13,19,13,25,19,49,51.02,26.53,38.78,26.53,51.02,38.78
Placer County,9,7,9,7,9,7,21,42.86,33.33,42.86,33.33,42.86,33.33
Plumas County,2,1,2,0,1,0,2,100,50,100,0,50,0
Riverside County,62,63,62,60,59,60,158,39.24,39.87,39.24,37.97,37.34,37.97
Sacramento County,18,23,20,13,8,10,38,47.37,60.53,52.63,34.21,21.05,26.32
San Benito County,4,3,3,2,3,3,7,57.14,42.86,42.86,28.57,42.86,42.86
San Bernardino County,26,22,21,17,21,22,72,36.11,30.56,29.17,23.61,29.17,30.56
San Diego County,37,34,35,42,45,44,106,34.91,32.08,33.02,39.62,42.45,41.51
San Francisco County,3,1,0,6,8,9,11,27.27,9.09,0,54.55,72.73,81.82
San Joaquin County,4,3,2,2,3,4,8,50,37.5,25,25,37.5,50
San Luis Obispo County,3,5,3,7,5,7,22,13.64,22.73,13.64,31.82,22.73,31.82
San Mateo County,14,8,12,21,27,23,36,38.89,22.22,33.33,58.33,75,63.89
Santa Barbara County,10,7,7,8,11,11,22,45.45,31.82,31.82,36.36,50,50
Santa Clara County,26,12,21,24,38,29,55,47.27,21.82,38.18,43.64,69.09,52.73
Santa Cruz County,5,4,4,7,8,8,14,35.71,28.57,28.57,50,57.14,57.14
Shasta County,7,8,7,4,3,4,11,63.64,72.73,63.64,36.36,27.27,36.36
Siskiyou County,0,0,0,0,0,0,1,0,0,0,0,0,0
Solano County,18,13,18,12,17,12,33,54.55,39.39,54.55,36.36,51.52,36.36
Sonoma County,6,7,6,9,8,9,24,25,29.17,25,37.5,33.33,37.5
Stanislaus County,1,0,0,1,2,2,4,25,0,0,25,50,50
Tehama County,3,1,1,0,2,2,4,75,25,25,0,50,50
Trinity County,0,0,0,0,0,0,1,0,0,0,0,0,0
Tulare County,0,0,0,2,2,2,10,0,0,0,20,20,20
Tuolumne County,0,0,0,0,0,0,1,0,0,0,0,0,0
Ventura County,16,15,14,18,19,20,42,38.1,35.71,33.33,42.86,45.24,47.62
Yolo County,0,0,0,1,1,1,3,0,0,0,33.33,33.33,33.33
Yuba County,0,0,0,0,0,0,2,0,0,0,0,0,0
